옵션ID,옵션명,상품명,매출,판매량,주문수,총매출,총판매수,광고비,노출수,클릭수,광고판매수량,마진_상품명,원가,판매가,마진금액,마진율,수수료율,수수료금액
92582844462,"헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트, 2개",헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트,579800,10,10,695760,12,0.0,0.0,0.0,0.0,컷소 배터리 2개,12170.0,57980.0,23615.0,0.407,0.16,9347.0
92668844754,"헤이즈 충전식 소형 믹서기 쉐이커, HEMON(화이트)",헤이즈 충전식 소형 믹서기 쉐이커,37940,2,2,113940,6,0.0,0.0,0.0,2.0,믹서기 화이트,3983.0,16920.0,6979.0,0.412,0.26,4420.0
92668844754,"헤이즈 충전식 소형 믹서기 쉐이커, HEMON(화이트)",헤이즈 충전식 소형 믹서기 쉐이커,37940,2,2,113940,6,13584.0,17118.0,76.0,2.0,믹서기 화이트,3983.0,16920.0,6979.0,0.412,0.26,4420.0
92668844758,"헤이즈 충전식 소형 믹서기 쉐이커, HEMON(핑크)",헤이즈 충전식 소형 믹서기 쉐이커,-54000,-3,-3,0,0,0.0,0.0,0.0,0.0,,,,,,,
92694498074,"헤몬팜 실리콘 방석 쿨방석 차량용 방석 대형, 2개, 블루",헤몬팜 실리콘 방석 쿨방석 차량용 방석 대형,16740,1,1,16740,1,,,,,,,,,,,
92733650882,"헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡, 1개, 화이트",헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡,0,0,0,0,0,,,,,,,,,,,
92741163543,"헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡, 2개, 화이트",헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡,39890,1,1,39890,1,17469.0,23379.0,38.0,1.0,강아지바리깡 2개,13719.0,39800.0,16384.0,0.412,0.2,7848.0
92741163543,"헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡, 2개, 화이트",헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡,39890,1,1,39890,1,0.0,0.0,0.0,0.0,강아지바리깡 2개,13719.0,39800.0,16384.0,0.412,0.2,7848.0
92798387298,"헤몬팜 라이트닝 미백 전동칫솔 치아미백 음파 전동 칫솔, 1개, 로즈골드",헤몬 소프트케어 전동칫솔,18900,1,1,18900,1,,,,,,,,,,,
92798563190,"헤몬팜 키토제로 전기 모기채 건전지식 전기모기채 건전지포함, 1개+건전지 2개",헤몬팜 키토제로 전기 모기채 건전지식 전기모기채 건전지포함,0,0,0,0,0,,,,,,,,,,,
92996177738,"헤몬팜 오픈이어 무선 이어폰 블루투스 이어폰 충전식 골전도 이어폰, 블랙,1개",헤몬팜 오픈이어 무선 이어폰 블루투스 이어폰 충전식 골전도 이어폰,0,0,0,0,0,,,,,,,,,,,
92996185549,"헤몬팜 오픈이어 무선 이어폰 블루투스 이어폰 충전식 골전도 이어폰, 블랙,1개",헤몬팜 오픈이어 무선 이어폰 블루투스 이어폰 충전식 골전도 이어폰,298500,15,15,318400,16,92742.0,153637.0,420.0,9.0,골전도이어폰,6638.0,19800.0,7493.0,0.378,0.25,4984.0
93042675760,"헤몬팜 타이어에어 휴대용 타이어 공기압 주입기 무선 올인원 공기 주입기 6000mAH, 블랙, 1개",헤몬팜 타이어에어 휴대용 타이어 공기압 주입기 무선 올인원 공기 주입기 6000mAH,0,0,0,0,0,,,,,,,,,,,
93550943436,"헤몬팜 오픈이어 무선 이어폰 블루투스 이어폰 충전식 골전도 이어폰, 블랙,1개",헤몬팜 오픈이어 무선 이어폰 블루투스 이어폰 충전식 골전도 이어폰,0,0,0,0,0,,,,,,,,,,,
93587220001,"헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡, 1개, 화이트",헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡,472910,19,19,522690,21,82174.0,30375.0,98.0,14.0,강아지바리깡,6859.0,24800.0,10739.0,0.433,0.24,5828.0
93679318574,"헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡, 1개, 화이트",헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡,-90,0,0,44620,2,,,,,,,,,,,
93691863981,"헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡, 1개, 화이트",헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡,0,0,0,0,0,,,,,,,,,,,
93708990935,"헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡, 1개, 화이트",헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡,19750,1,1,39660,2,,,,,,,,,,,
93732158303,"헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡, 2개, 화이트",헤몬팜 멀티클리퍼 강아지 이발기 반려동물 애완동물 애견 바리깡,0,0,0,0,0,,,,,,,,,,,
93827538002,"헤이즈 충전식 소형 믹서기 쉐이커, HEMON(화이트)",헤이즈 충전식 소형 믹서기 쉐이커,113400,6,6,113400,6,0.0,0.0,0.0,2.0,,,,,,,
93827538002,"헤이즈 충전식 소형 믹서기 쉐이커, HEMON(화이트)",헤이즈 충전식 소형 믹서기 쉐이커,113400,6,6,113400,6,10729.0,31202.0,62.0,3.0,,,,,,,
93827538003,"헤이즈 충전식 소형 믹서기 쉐이커, HEMON(핑크)",헤이즈 충전식 소형 믹서기 쉐이커,76500,4,4,113400,6,0.0,0.0,0.0,1.0,믹서기 핑크,3983.0,16920.0,6979.0,0.412,0.26,4420.0
93827538003,"헤이즈 충전식 소형 믹서기 쉐이커, HEMON(핑크)",헤이즈 충전식 소형 믹서기 쉐이커,76500,4,4,113400,6,8807.0,17266.0,90.0,1.0,믹서기 핑크,3983.0,16920.0,6979.0,0.412,0.26,4420.0
93859287881,"헤누스 듀얼부스터 2IN1 차량용 점프스타터 긴급시동 자동차 오토바이 에어펌프 공기압주입기, 12000mAh, 1세트",헤누스 듀얼부스터 2IN1 차량용 점프스타터 긴급시동 자동차 오토바이 에어펌프 공기압주입기,303600,4,4,303600,4,6959.0,6750.0,7.0,1.0,점프스타터,28987.0,75900.0,34203.0,0.451,0.13,9490.0
